Reaction,Comp2GPR rules,yeast9 rules,Exact Match
r_0126,YCR048W,YCR048W,True
r_0127,YCR048W or YNR019W,YCR048W or YNR019W,True
r_0128,YCR048W,YCR048W,True
r_0129,YCR048W,YCR048W,True
r_0130,YCR048W,YCR048W,True
r_0131,YCR048W,YCR048W,True
r_0132,YCR048W or YNR019W,YCR048W or YNR019W,True
r_0133,YCR048W,YCR048W,True
r_0134,YCR048W,YCR048W,True
r_0135,YCR048W,YCR048W,True
r_0137,YJL091C,YJL091C,True
r_0138,YNL141W,YNL141W,True
r_0139,YDR441C or YML022W,YDR441C or YML022W,True
r_0140,YNL141W,YNL141W,True
r_0142,YJR105W,YJR105W,True
r_0143,YML035C,YML035C,True
r_0144,YER043C,YER043C,True
r_0145,YOL052C,YOL052C,True
r_0146,YNR058W,YNR058W,True
r_0147,YJL005W and YNL138W,YJL005W,False
r_0148,YDL166C or YDR226W,YDL166C or YDR226W,True
r_0149,YER170W,YER170W,True
r_0150,YER170W,YER170W,True
r_0151,YLR359W,YLR359W,True
r_0152,YLR359W,YLR359W,True
r_0153,YNL220W,YNL220W,True
r_0154,YKL001C,YKL001C,True
r_0155,YGR247W,YGR247W,True
r_0156,YFL030W,YFL030W,True
r_0157,YOR335C,YOR335C,True
r_0158,YGR177C or YOR377W,YGR177C or YOR377W,True
r_0159,YGR177C or YOR377W,YGR177C or YOR377W,True
r_0160,YGR177C or YOR377W,YGR177C or YOR377W,True
r_0161,YGR177C or YOR377W,YGR177C or YOR377W,True
r_0162,YGR177C or YOR377W,YGR177C or YOR377W,True
r_0163,YMR303C,YMR303C,True
r_0164,YDR368W or YHR104W,YDR368W or YHR104W,True
r_0165,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0166,YBR145W or YDL168W or YOL086C,YBR145W or YDL168W or YOL086C,True
r_0167,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0168,YCR105W or YDR368W or YMR318C,YCR105W or YDR368W or YMR318C,True
r_0169,YBR145W or YDL168W or YOL086C,YBR145W or YDL168W or YOL086C,True
r_0170,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0171,YCR105W or YMR318C,YCR105W or YMR318C,True
r_0172,YMR170C or YMR169C,YMR170C or YMR169C,True
